long,lat,bio_1,bio_12
-76.72274326,-6.392750121,208,1196
-76.63940993,-6.392750121,227,1537
-76.59774326,-6.392750121,249,1066
-76.38940993,-6.392750121,225,1506
-76.22274327,-6.392750121,223,2074
-76.0560766,-6.392750121,255,2061
-75.97274327,-6.392750121,255,2053
-75.9310766,-6.392750121,253,2134
-75.84774327,-6.392750121,256,1947
-75.6810766,-6.392750121,256,2179
-75.3060766,-6.392750121,256,2253
-75.22274327,-6.392750121,256,2278
-77.68107659,-6.434416788,144,1312
-77.63940993,-6.434416788,173,913
-77.51440993,-6.434416788,188,939
-77.01440993,-6.434416788,175,1286
-76.76440993,-6.434416788,201,1362
-76.47274327,-6.434416788,241,1241
-76.4310766,-6.434416788,236,1388
-76.38940993,-6.434416788,241,1316
-76.26440993,-6.434416788,232,1815
-76.22274327,-6.434416788,231,1634
-76.01440993,-6.434416788,248,2276
-75.84774327,-6.434416788,256,2008
-75.8060766,-6.434416788,255,2166
-75.72274327,-6.434416788,255,2260
-75.51440994,-6.434416788,251,2331
-75.22274327,-6.434416788,256,2237
-75.13940994,-6.434416788,256,2195
-75.09774327,-6.434416788,256,2266
-75.0560766,-6.434416788,256,2213
-77.72274326,-6.476083454,115,1373
-77.68107659,-6.476083454,141,1345
-77.59774326,-6.476083454,175,930
-77.43107659,-6.476083454,175,1133
-77.38940993,-6.476083454,191,962
-76.88940993,-6.476083454,181,1545
-76.76440993,-6.476083454,225,1092
-76.51440993,-6.476083454,249,1237
-76.22274327,-6.476083454,228,1764
-76.01440993,-6.476083454,212,2600
-75.88940993,-6.476083454,250,2122
-75.72274327,-6.476083454,255,2256
-75.38940994,-6.476083454,255,2233
-75.26440994,-6.476083454,256,2210
-77.63940993,-6.517750121,154,1370
-76.9310766,-6.517750121,200,1010
-76.6810766,-6.517750121,236,932
-76.63940993,-6.517750121,201,1518
-76.1810766,-6.517750121,220,1774
-75.72274327,-6.517750121,253,2304
-75.6810766,-6.517750121,255,2194
-75.63940994,-6.517750121,256,2066
-75.34774327,-6.517750121,255,2177
-75.22274327,-6.517750121,256,2174
-75.13940994,-6.517750121,257,2067
-75.0560766,-6.517750121,256,2077
-77.43107659,-6.559416787,154,1451
-77.26440993,-6.559416787,152,1486
-77.01440993,-6.559416787,170,1579
-76.9310766,-6.559416787,209,1149
-76.8060766,-6.559416787,210,1548
-76.63940993,-6.559416787,211,1251
-76.34774327,-6.559416787,256,1233
-76.3060766,-6.559416787,253,1157
-76.0560766,-6.559416787,253,1407
-75.97274327,-6.559416787,248,1603
-75.76440993,-6.559416787,250,2356
-75.6810766,-6.559416787,254,2188
-75.63940994,-6.559416787,255,2047
-75.47274327,-6.559416787,253,2009
-75.4310766,-6.559416787,253,2191
-75.3060766,-6.559416787,255,2167
-75.13940994,-6.559416787,257,2097
-77.72274326,-6.601083454,103,1164
-77.59774326,-6.601083454,136,1436
-77.43107659,-6.601083454,152,1417
-77.34774326,-6.601083454,196,980
-77.13940993,-6.601083454,158,1424
-76.63940993,-6.601083454,234,1005
-76.4310766,-6.601083454,242,1498
-76.38940993,-6.601083454,248,1479
-76.3060766,-6.601083454,255,1168
-76.1810766,-6.601083454,232,1595
-76.13940993,-6.601083454,251,1455
-76.0560766,-6.601083454,249,1551
-75.9310766,-6.601083454,242,1983
-75.88940993,-6.601083454,240,2128
-75.8060766,-6.601083454,227,2460
-75.72274327,-6.601083454,254,2066
-75.51440994,-6.601083454,253,2001
-75.47274327,-6.601083454,253,2033
-75.38940994,-6.601083454,254,2127
-75.1810766,-6.601083454,257,2086
-77.59774326,-6.64275012,145,1094
-77.51440993,-6.64275012,163,1279
-77.43107659,-6.64275012,175,1033
-77.13940993,-6.64275012,156,1493
-77.09774326,-6.64275012,185,1148
-76.97274326,-6.64275012,214,1058
-76.4310766,-6.64275012,240,1463
-76.3060766,-6.64275012,253,1249
-76.1810766,-6.64275012,216,1837
-76.0560766,-6.64275012,248,1658
-75.63940994,-6.64275012,254,2084
-75.51440994,-6.64275012,253,2051
-75.47274327,-6.64275012,253,2103
-75.13940994,-6.64275012,257,1989
-75.0560766,-6.64275012,257,2010
-77.72274326,-6.684416787,118,1285
-77.59774326,-6.684416787,166,974
-77.47274326,-6.684416787,171,1218
-77.09774326,-6.684416787,186,1309
-76.88940993,-6.684416787,236,1085
-76.84774326,-6.684416787,237,996
-76.8060766,-6.684416787,225,1144
-76.38940993,-6.684416787,240,1562
-76.09774327,-6.684416787,211,2127
-75.84774327,-6.684416787,236,2059
-75.72274327,-6.684416787,239,2428
-75.5560766,-6.684416787,253,1999
-75.4310766,-6.684416787,254,2009
-75.26440994,-6.684416787,255,2081
-75.22274327,-6.684416787,255,2132
-77.68107659,-6.726083453,157,1041
-77.59774326,-6.726083453,174,991
-77.55607659,-6.726083453,173,1085
-77.38940993,-6.726083453,187,1027
-77.34774326,-6.726083453,191,1169
-77.3060766,-6.726083453,213,981
-77.26440993,-6.726083453,215,921
-77.22274326,-6.726083453,201,1012
-77.01440993,-6.726083453,191,1467
-76.84774326,-6.726083453,235,1313
-76.72274326,-6.726083453,248,1378
-76.51440993,-6.726083453,218,1483
-76.34774327,-6.726083453,248,1266
-76.3060766,-6.726083453,242,1503
-76.26440993,-6.726083453,246,1268
-76.01440993,-6.726083453,233,1871
-75.88940993,-6.726083453,231,2146
-75.5560766,-6.726083453,252,2075
-75.51440994,-6.726083453,252,2081
-75.38940994,-6.726083453,254,2048
-75.34774327,-6.726083453,254,2044
-75.3060766,-6.726083453,254,2024
-75.13940994,-6.726083453,257,2019
-75.0560766,-6.726083453,257,1931
-77.26440993,-6.76775012,205,1170
-77.1810766,-6.76775012,217,890
-77.13940993,-6.76775012,201,1004
-77.09774326,-6.76775012,187,1381
-76.9310766,-6.76775012,221,1284
-76.8060766,-6.76775012,246,1034
-76.6810766,-6.76775012,249,1451
-76.63940993,-6.76775012,254,1211
-75.88940993,-6.76775012,235,1784
-75.72274327,-6.76775012,226,2026
-75.51440994,-6.76775012,246,2339
-75.47274327,-6.76775012,251,2177
-75.3060766,-6.76775012,254,1980
-75.22274327,-6.76775012,255,1989
-75.1810766,-6.76775012,256,2035
-76.88940993,-6.809416786,230,1150
-76.5560766,-6.809416786,257,962
-76.47274327,-6.809416786,244,1160
-76.26440993,-6.809416786,243,1387
-76.22274327,-6.809416786,247,1199
-76.09774327,-6.809416786,216,1397
-75.97274327,-6.809416786,224,1806
-75.88940993,-6.809416786,230,1969
-75.72274327,-6.809416786,230,1770
-75.6810766,-6.809416786,214,1911
-75.59774327,-6.809416786,223,2473
-75.5560766,-6.809416786,236,2369
-75.51440994,-6.809416786,242,2254
-75.47274327,-6.809416786,247,2119
-75.4310766,-6.809416786,248,2290
-75.38940994,-6.809416786,252,2127
-75.13940994,-6.809416786,257,1911
-77.43107659,-6.851083453,166,1214
-77.38940993,-6.851083453,166,1293
-77.3060766,-6.851083453,196,1170
-77.22274326,-6.851083453,206,1256
-76.8060766,-6.851083453,247,1265
-76.76440993,-6.851083453,250,974
-76.72274326,-6.851083453,227,1416
-76.63940993,-6.851083453,250,1465
-76.59774326,-6.851083453,253,1383
-76.51440993,-6.851083453,254,1012
-76.47274327,-6.851083453,250,1115
-76.26440993,-6.851083453,251,1106
-75.9310766,-6.851083453,220,2063
-75.84774327,-6.851083453,221,2014
-75.59774327,-6.851083453,214,2576
-75.5560766,-6.851083453,232,2307
-75.51440994,-6.851083453,241,2232
-75.34774327,-6.851083453,255,1789
-77.59774326,-6.892750119,118,1503
-77.38940993,-6.892750119,171,1166
-77.26440993,-6.892750119,184,1429
-77.1810766,-6.892750119,215,1031
-76.97274326,-6.892750119,202,1721
-76.9310766,-6.892750119,235,1217
-76.76440993,-6.892750119,255,976
-76.6810766,-6.892750119,231,1665
-76.63940993,-6.892750119,249,1451
-76.13940993,-6.892750119,227,1568
-75.84774327,-6.892750119,229,1716
-75.8060766,-6.892750119,222,1911
-75.59774327,-6.892750119,213,2353
-75.47274327,-6.892750119,249,1958
-77.68107659,-6.934416786,90,1207
-77.55607659,-6.934416786,156,1125
-77.51440993,-6.934416786,166,1112
-77.34774326,-6.934416786,180,1126
-77.26440993,-6.934416786,193,1281
-77.01440993,-6.934416786,213,1128
-76.76440993,-6.934416786,257,1065
-76.59774326,-6.934416786,253,1423
